trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
78,False,"{'a': 0.42199999999999993, 'e': 0.7319815282283126}",20,15,9.720061478505714,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.42099999999999993, 'e': 0.7290594501676237}",30,4,-62.91148878853555,"{0: 14, 1: 7, 2: 5, 3: 0, 4: 0}",1
80,False,"{'a': 0.41999999999999993, 'e': 0.7261490370736909}",20,6,-51.17097735192179,"{0: 8, 1: 1, 2: 4, 3: 1, 4: 0}",1
81,False,"{'a': 0.41899999999999993, 'e': 0.7232502423798424}",20,0,-115.11405910559343,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
82,False,"{'a': 0.4179999999999999, 'e': 0.7203630197053014}",30,0,-127.3735761477994,"{0: 20, 1: 2, 2: 4, 3: 3, 4: 1}",0
83,False,"{'a': 0.4169999999999999, 'e': 0.7174873228544433}",35,18,-33.08699165921214,"{0: 12, 1: 3, 2: 0, 3: 2, 4: 0}",1
84,False,"{'a': 0.4159999999999999, 'e': 0.7146231058160573}",20,12,-12.668163250204673,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.4149999999999999, 'e': 0.7117703227626097}",20,0,-139.36245279210937,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
86,False,"{'a': 0.4139999999999999, 'e': 0.7089289280495107}",20,0,-70.10924898041364,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
87,False,"{'a': 0.4129999999999999, 'e': 0.7060988762143844}",25,9,-48.42040208491822,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 1}",1
88,False,"{'a': 0.4119999999999999, 'e': 0.7032801219763409}",20,0,-42.52445100626347,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
89,False,"{'a': 0.4109999999999999, 'e': 0.7004726202352524}",20,0,-29.38402684805569,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
90,False,"{'a': 0.4099999999999999, 'e': 0.697676326071031}",30,0,-55.0013735840876,"{0: 21, 1: 5, 2: 2, 3: 2, 4: 0}",0
91,False,"{'a': 0.4089999999999999, 'e': 0.6948911947429106}",30,0,-28.542059711714224,"{0: 24, 1: 1, 2: 5, 3: 0, 4: 0}",0
92,False,"{'a': 0.4079999999999999, 'e': 0.6921171816887304}",25,14,-32.066547887682475,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 0}",1
93,False,"{'a': 0.4069999999999999, 'e': 0.6893542425242224}",20,0,-114.74780844110907,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
94,False,"{'a': 0.4059999999999999, 'e': 0.686602333042301}",25,11,-16.906496598560064,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
95,False,"{'a': 0.4049999999999999, 'e': 0.6838614092123558}",25,8,-60.575872299753854,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 1}",1
96,False,"{'a': 0.4039999999999999, 'e': 0.6811314271795471}",35,0,-135.40532850487978,"{0: 21, 1: 6, 2: 5, 3: 2, 4: 1}",0
97,False,"{'a': 0.4029999999999999, 'e': 0.678412343264104}",35,9,-61.23292115217886,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 1}",1
98,False,"{'a': 0.4019999999999999, 'e': 0.675704113960626}",25,0,-104.64859839941812,"{0: 16, 1: 4, 2: 2, 3: 2, 4: 1}",0
99,False,"{'a': 0.4009999999999999, 'e': 0.6730066959373864}",20,1,-55.866930939042504,"{0: 14, 1: 3, 2: 0, 3: 1, 4: 1}",1
100,False,"{'a': 0.3999999999999999, 'e': 0.6703200460356393}",20,4,-84.48775276337187,"{0: 9, 1: 2, 2: 3, 3: 1, 4: 1}",1
101,False,"{'a': 0.3989999999999999, 'e': 0.6676441212689289}",25,7,-50.88048349904989,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 0}",1
102,False,"{'a': 0.3979999999999999, 'e': 0.6649788788224019}",25,0,-82.53844473793659,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 2}",0
103,False,"{'a': 0.3969999999999999, 'e': 0.6623242760521222}",20,0,-118.82017997532274,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
104,False,"{'a': 0.3959999999999999, 'e': 0.659680270484389}",30,8,-101.40354525592234,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 2}",1
105,False,"{'a': 0.3949999999999999, 'e': 0.6570468198150567}",20,6,-76.5784619089357,"{0: 8, 1: 2, 2: 2, 3: 1, 4: 1}",1
106,False,"{'a': 0.3939999999999999, 'e': 0.6544238819088586}",20,0,9.907067376308628,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
107,False,"{'a': 0.3929999999999999, 'e': 0.651811414798732}",35,9,-152.00799733219,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 3}",1
108,False,"{'a': 0.3919999999999999, 'e': 0.6492093766851474}",30,0,3.4392329033756344,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",0
109,False,"{'a': 0.3909999999999999, 'e': 0.6466177259354396}",20,4,-32.90324023167588,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 0}",1
110,False,"{'a': 0.3899999999999999, 'e': 0.6440364210831414}",20,0,-30.495592754520565,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
111,False,"{'a': 0.3889999999999999, 'e': 0.6414654208273198}",20,15,-13.760798157722427,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
112,False,"{'a': 0.3879999999999999, 'e': 0.6389046840319162}",20,0,-64.50954817385299,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
113,False,"{'a': 0.3869999999999999, 'e': 0.6363541697250871}",20,0,-30.285201067059166,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
114,False,"{'a': 0.3859999999999999, 'e': 0.633813837098549}",20,0,-70.49002732452634,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
115,False,"{'a': 0.3849999999999999, 'e': 0.631283645506926}",20,9,-33.77154194156486,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
116,False,"{'a': 0.3839999999999999, 'e': 0.6287635544670984}",30,0,-69.42129647089332,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
117,False,"{'a': 0.3829999999999999, 'e': 0.6262535236575559}",20,3,-0.2873626085574299,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
118,False,"{'a': 0.3819999999999999, 'e': 0.623753512917752}",25,17,-21.165272023593083,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
